1/12/2018,6734,Ira Natt,Active,Campaign 4,Hartford,Written contract,VP Accounting,98779,Ira Natt,72931,Ira Natt,,Ira,Health Care,,Raleigh,CT,Birch,Voltsillam,Campaign 4,9.42,1.9,1.53,1.65,0.66,0.46,0.24,0.32,0.05,0.02,0.55,0.63,0.92,0.29,0.38,27.21,4.16,4.93,14.04,27.12,3.69,5.45,13.31,3.22,4.16,15.16,9.26,13.33,16.44,15.38,8.6,8.09,1.8,0.29,0.07,1.2,2017-09-27 02:27:25,2017-09-27 11:27:25,2018-03-27 02:27:25
11/2/2017,41,Romy Corps,InActive,Campaign 5,Philadelphia,Standard form contract,Professor,99860,Romy Corps,65973,Romy Corps,Periract,Romy,Energy,Periract,Whittier,PA,Kingston,Bytecard,Campaign 5,6.92,1.9,1.2,1.12,1.84,0.07,0.6,0.59,0.62,0.15,0.89,0.51,0.75,0.88,0.16,34.39,3.75,4.34,25.07,22.68,2.22,10.52,4.33,16.46,13.04,11.68,9.99,12.95,8.84,18.46,18.52,0.21,0.78,1.11,0.48,1.97,2018-06-07 09:50:38,2018-06-07 18:50:38,2018-12-07 09:50:38
11/26/2017,50589,Eva Bartomeu,InActive,Campaign 2,New Haven,Standard form contract,Account Executive,98479,Eva Bartomeu,64241,Eva Bartomeu,,Eva,Technology,,Duluth,CT,Casandra,Viva,Campaign 2,8.51,0.7,0.99,1.46,1.23,0.14,0.56,0.56,0.56,0.3,0.2,0.0,0.84,0.27,0.73,35.2,2.45,3.25,15.45,24.08,7.58,12.55,17.43,18.06,15.24,6.92,5.14,3.27,11.78,19.41,2.56,2.96,1.28,0.28,1.11,1.32,2017-10-09 02:11:31,2017-10-09 11:11:31,2018-04-09 02:11:31
9/1/2017,9,Marti Barnewall,Active,Campaign 8,Johnson City,Verbal contract,Design Engineer,76388,Marti Barnewall,74517,Marti Barnewall,Stanorm coact,Marti,Health Care,Vct,Crawfordsville,TN,Magdalen,Fixflex,Campaign 8,7.48,1.4,1.86,1.23,1.78,0.15,1.95,0.29,0.17,0.43,0.62,0.18,0.09,0.11,0.33,29.55,4.7,2.72,17.47,24.71,7.68,7.54,12.82,16.48,5.77,6.82,15.54,7.4,17.9,15.42,7.16,13.38,1.5,1.79,0.11,1.99,2017-11-15 10:15:41,2017-11-15 19:15:41,2018-05-15 10:15:41
10/24/2017,58,Tobe Jevons,InActive,Campaign 3,Jefferson City,Standard form contract,Biostatistician I,87666,Tobe Jevons,95148,Tobe Jevons,Wrntract,Tobe,Consumer Non-Durables,Wrntract,Oklahoma City,MO,Max,Daltfresh,Campaign 3,7.15,0.9,1.0,1.4,1.49,0.46,0.2,0.9,0.95,0.49,0.13,0.68,0.62,0.95,0.08,31.9,3.27,3.95,28.86,18.84,11.38,11.74,3.22,10.58,14.63,15.48,19.55,4.94,13.87,11.8,0.93,5.39,0.39,0.59,0.39,1.12,2018-02-02 02:53:03,2018-02-02 11:53:03,2018-08-02 02:53:03
10/17/2017,715,Julia Exall,Active,Campaign 8,Sacramento,Period contract,Staff Scientist,99840,Julia Exall,65673,Julia Exall,Stanorm coact,Julia,n/a,Stanorm coact,Baton Rouge,CA,Elberta,Sub-Ex,Campaign 8,8.94,0.8,1.59,0.78,0.49,0.24,0.74,0.39,0.37,0.88,0.89,0.63,0.27,0.37,0.75,35.0,2.09,2.78,19.0,13.66,8.22,8.93,4.82,6.27,11.22,13.09,8.9,16.72,9.2,1.19,15.65,4.71,1.86,1.96,0.92,1.06,2018-01-19 16:34:10,2018-01-20 01:34:10,2018-07-19 16:34:10
2/25/2018,5,Rene Egarr,Active,Campaign 8,Louisville,Verbal contract,Product Engineer,73808,Rene Egarr,62196,Rene Egarr,Stanorm coact,Rene,Consumer Services,Vct,Oklahoma City,KY,Joceline,Prodder,Campaign 8,9.49,1.5,0.75,0.71,0.7,0.36,0.5,0.45,0.89,0.23,0.98,0.75,0.65,0.72,0.27,26.48,4.23,3.36,19.89,16.34,3.75,2.07,14.66,13.65,11.97,19.01,6.76,19.41,17.48,19.57,2.13,11.9,1.07,1.95,0.58,0.36,2017-12-12 23:03:44,2017-12-13 08:03:44,2018-06-12 23:03:44
12/5/2017,8121,Genovera Rojel,Active,Campaign 1,Columbia,Period contract,Actuary,65436,Genovera Rojel,93151,Genovera Rojel,Stanorm coact,Genovera,Health Care,Vct,Dearborn,SC,Nicolle,Ronstring,Campaign 1,5.83,1.5,1.06,1.13,0.94,0.08,1.1,0.22,0.75,0.53,0.35,0.86,0.64,0.59,0.86,38.52,4.26,3.95,14.01,11.98,9.13,17.88,13.87,13.28,16.57,9.47,18.62,16.43,16.64,9.27,6.93,1.59,0.98,0.17,0.98,0.98,2017-11-18 11:49:39,2017-11-18 20:49:39,2018-05-18 11:49:39
9/21/2017,431,Nelli Porrett,Active,Campaign 3,Garland,Standard form contract,Cost Accountant,90564,Nelli Porrett,91966,Nelli Porrett,,Nelli,Health Care,,Beaufort,TX,Jarred,Home Ing,Campaign 3,8.82,1.2,1.94,1.5,0.38,0.43,1.43,0.2,0.53,0.98,0.41,0.92,0.95,0.22,0.21,23.0,4.55,4.6,23.3,26.55,16.82,18.23,19.17,4.08,2.28,15.75,19.35,12.42,1.2,2.04,12.14,17.28,1.07,0.42,1.14,0.29,2018-03-02 08:39:03,2018-03-02 17:39:03,2018-09-02 08:39:03
10/2/2017,1539,Zia Antonognoli,Active,Campaign 6,Phoenix,Verbal contract,Teacher,74624,Zia Antonognoli,91562,Zia Antonognoli,,Zia,Finance,,Young America,AZ,Alisa,Viva,Campaign 6,6.82,0.7,0.81,0.2,0.41,0.45,1.98,0.94,0.72,0.91,0.94,0.09,0.36,0.12,0.12,22.19,3.21,4.47,28.1,21.73,5.03,8.09,3.87,11.28,17.09,15.28,16.3,7.81,3.85,18.95,3.63,8.46,0.64,1.7,0.02,0.57,2018-07-19 02:11:20,2018-07-19 11:11:20,2019-01-19 02:11:20
4/27/2018,8640,Justinn Riply,InActive,Campaign 2,Tampa,Period contract,Environmental Specialist,62375,Justinn Riply,89156,Justinn Riply,Vct,Justinn,Public Utilities,Vct,Santa Monica,FL,Gregoor,Quo Lux,Campaign 2,9.63,0.7,0.5,0.12,0.74,0.28,0.65,0.39,0.42,0.42,0.77,0.55,0.91,0.06,0.1,21.49,4.07,2.79,16.82,15.42,4.67,13.56,15.79,5.69,2.37,4.03,13.77,3.25,8.42,2.17,12.3,8.01,1.73,0.75,1.35,0.54,2018-05-02 18:56:09,2018-05-03 03:56:09,2018-11-02 18:56:09
7/26/2018,4,Sofia Muspratt,InActive,Campaign 5,Detroit,Written contract,Pharmacist,94511,Sofia Muspratt,93605,Sofia Muspratt,,Sofia,Finance,,Hicksville,MI,Glen,Stronghold,Campaign 5,7.92,0.3,1.84,1.68,1.19,0.04,0.7,0.39,0.46,0.53,0.39,0.5,0.04,0.42,0.11,25.88,4.9,2.36,16.39,22.94,2.76,19.07,13.04,8.38,10.0,15.67,10.07,17.32,6.72,19.99,16.73,16.11,1.19,1.93,0.7,1.4,2017-09-07 15:02:12,2017-09-08 00:02:12,2018-03-07 15:02:12
10/29/2017,1265,Saudra Ribou,InActive,Campaign 6,Houston,Period contract,General Manager,65202,Saudra Ribou,84077,Saudra Ribou,,Saudra,Consumer Services,,Long Beach,TX,Nadia,Konklux,Campaign 6,6.85,1.0,0.72,0.12,1.28,0.31,0.12,0.53,0.6,0.08,0.49,0.82,0.17,0.12,0.11,37.7,4.75,2.96,20.7,17.13,8.57,6.8,7.09,18.96,8.94,2.12,5.08,4.93,7.37,2.86,16.17,10.18,1.12,1.01,1.91,0.3,2017-10-16 07:53:28,2017-10-16 16:53:28,2018-04-16 07:53:28
3/19/2018,0576,Michaela Mandrier,InActive,Campaign 1,Little Rock,Period contract,Office Assistant IV,97278,Michaela Mandrier,66205,Michaela Mandrier,,Michaela,Transportation,,Sacramento,AR,Teodorico,Zathin,Campaign 1,5.53,1.6,1.38,0.93,0.24,0.23,0.65,0.38,0.91,0.63,0.34,0.24,0.94,0.04,0.88,38.3,2.43,4.46,24.34,19.86,9.45,2.02,9.48,8.28,13.64,2.5,14.95,7.78,3.99,8.68,11.38,3.37,1.96,1.15,0.31,0.58,2018-06-25 19:51:41,2018-06-26 04:51:41,2018-12-25 19:51:41
